,CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
127,AT2016ews,150,0.04631,0.00087,0.04612,1e-05,0.04555,1e-05,17.2864,0.156917,36.5394,0.159223,-9.0,0,0,-0.15924,0.036857,1.0445,0.22071,16.7729,0.0482526,0.00350616,0.000155822,0.00148121,-1.2e-05,-4.7e-06,225.652,23.3528,225.659133,23.350542,24.937488948164994,-54.4087,250,0.0380688,10.3881,0.005,57619.9,0.1981,6,12.1392,0.0589341,0.0845,0.0417,0.0806,0.002,1.0,0.001
128,AT2017yk,150,0.04691,0.00089,0.04764,0.00015,0.04644,0.00015,17.5052,0.279376,36.7582,0.280677,-9.0,0,1,0.15152,0.04244,-0.599325,0.5657,17.9803,0.0524477,0.00115316,5.57e-05,0.00524052,-1.23e-05,-1.99e-06,146.133,-12.3082,146.133918,-12.30656,6.729241744319641,207.291,250,0.0295285,10.0803,0.003,57788.7,0.4718,4,7.71655,0.10253,0.1183,0.0421,-0.1343,0.004,1.0,0.019
129,2016afk,150,0.04738,0.00087,0.04677,1e-05,0.0456,1e-05,17.3112,0.227553,36.5642,0.229149,-9.0,0,0,0.03245,0.037705,-0.290903,0.22075,17.5003,0.0534497,0.00179427,8.83e-05,0.00189554,-4.06e-06,-2.77e-06,155.625,15.0966,155.624638,15.096281,1.7035122009870818,-172.356,250,0.049836,9.44086,0.002,57440.7,0.3118,13,33.7728,0.00130294,0.0784,0.0408,-0.0066,0.003,1.0,0.016
130,PS16fa,150,0.0476,0.00087,0.04734,1e-05,0.04611,1e-05,17.3479,0.159417,36.6009,0.161688,-9.0,0,1,-0.002868,0.032797,-0.651798,0.11284,17.4422,0.0384533,0.00189294,6.7e-05,-0.000429945,4.25e-08,-1.86e-06,154.819,4.7617,154.823301,4.763066,16.194818035479138,-74.0873,250,0.0218181,10.2881,0.013,57400.3,0.2188,18,18.7882,0.40497,0.0763,0.0406,-0.0454,0.001,1.0,0.004
131,PS15aii,150,0.04777,0.00087,0.04768,1e-05,0.04655,1e-05,17.3416,0.142856,36.5946,0.145385,-9.0,0,1,-0.060972,0.033404,0.34871,0.14261,17.1377,0.0388066,0.00250558,8.96e-05,0.000214057,-2.28e-06,-2.52e-06,191.19,9.7597,191.19001,9.75731,8.604073231416363,-26.3507,250,0.022432,10.3823,0.012,57159.1,0.1757,9,8.88446,0.44801,0.0772,0.0405,-0.0163,0.001,1.0,0.002
132,PS17akj,150,0.04777,0.00087,0.0478,1e-05,0.04681,1e-05,17.3097,0.207053,36.5627,0.208806,-9.0,0,1,-0.060006,0.03815,1.35352,0.24805,16.9973,0.0505932,0.00285151,0.000132875,-0.000149382,-8.47e-06,-1.93e-06,207.455,-3.08,207.454459,-3.080145,2.0136252297620443,8.6079,250,0.0442696,8.85712,0.005,57798.8,0.2989,9,18.8331,0.0266502,0.1199,0.0405,0.0204,0.001,1.0,0.005
133,ATLAS16agv,150,0.04819,0.00089,0.04777,0.00017,0.04779,0.00017,17.2446,0.16366,36.4976,0.165873,-9.0,0,0,-0.094154,0.033949,1.32221,0.2059,16.8529,0.0396472,0.00325704,0.000118935,-0.0003622,-8.85e-07,-3.36e-06,250.29,50.9724,,,,-119.844,250,0.0211503,9.10622,0.1,57470.0,0.3631,10,22.6439,0.0121402,0.0837,0.041,0.0421,0.001,1.0,0.004
134,ASASSN-15pm,150,0.04837,0.00089,0.04777,0.00015,0.04879,0.00015,17.1205,0.152367,36.3735,0.154741,-9.0,0,1,-0.058198,0.034851,-0.070478,0.17495,16.9899,0.0417811,0.00287103,0.000110482,-0.000636284,-6.76e-07,-3.17e-06,24.6504,-4.6798,24.652981,-4.682696,13.944601676004549,-170.031,250,0.0276521,10.292,0.097,57278.7,0.3623,10,11.0193,0.35602,0.0853,0.0409,-0.0134,0.001,1.0,0.002
135,AT2016gmg,150,0.04865,0.00088,0.04839,0.00011,0.04944,0.00011,17.388,0.179443,36.641,0.181462,-9.0,0,0,-0.048298,0.047876,-1.82133,0.27784,17.5328,0.0895428,0.00174141,0.000143618,0.00111469,-6.15e-06,-5.28e-06,320.924,33.1147,320.92087,33.118868,17.726040944997763,-72.714,250,0.11756,10.9955,0.001,57662.2,0.2542,8,24.5157,0.00187704,0.1067,0.0402,-0.027,0.001,1.0,0.002
136,PS16el,150,0.0494,0.00087,0.04896,1e-05,0.0478,1e-05,17.2161,0.174923,36.4691,0.176995,-9.0,0,1,-0.040141,0.03829,-1.31125,0.15007,17.3414,0.0476096,0.00207709,9.11e-05,-0.000912862,-5.97e-08,-3.02e-06,162.802,19.3625,162.802182,19.363396,3.284295059749822,-126.334,250,0.0333659,9.98418,0.001,57394.9,0.2031,18,15.9332,0.59721,0.0886,0.0392,0.0035,0.003,1.0,0.005
137,PS15asb,150,0.04989,0.00094,0.04952,0.00033,0.04863,0.00033,17.2184,0.183555,36.4714,0.18553,-9.0,0,1,0.00342,0.040271,-1.52138,0.24469,17.4425,0.0533577,0.00189234,9.3e-05,-0.000353429,1.17e-06,-2.97e-06,215.085,-9.3009,,,,-107.07,250,0.0456489,10.2884,0.1,57194.3,0.4849,8,11.995,0.15143,0.0962,0.0419,-0.0633,0.001,1.0,0.005
138,PS16dnp,150,0.05023,0.00088,0.04998,3e-05,0.05127,3e-05,17.6053,0.160978,36.8583,0.163226,-9.0,0,1,-0.094383,0.037287,0.80899,0.24012,17.2868,0.0643366,0.00218412,0.000129423,-0.000235212,3.64e-07,-3.84e-06,344.915,2.1498,344.915105,2.149748,0.42158564600704,-70.9704,250,0.0790465,8.04941,0.285,57598.0,0.3558,16,27.0462,0.0409721,0.0839,0.039,0.0403,0.001,1.0,0.004
139,ASASSN-17eb,150,0.05044,0.00088,0.0497,1e-05,0.04924,1e-05,17.2091,0.200082,36.4621,0.201896,-9.0,0,0,0.044908,0.040031,-1.50448,0.18454,17.5333,0.0549308,0.00174045,8.81e-05,-0.00129347,3.08e-06,-2.84e-06,234.642,13.3478,234.63959,13.345192,12.625826056892354,-213.562,250,0.0354671,10.8378,0.0,57836.8,0.5604,5,2.18367,0.82319,0.0936,0.0388,-0.089,0.002,1.0,0.008
